City ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
777019,Vardø,75,NO,1612288654,74,70.3705,31.1107,26.6,19.57
3443061,Chui,17,UY,1612288655,50,-33.6971,-53.4616,86.67,0.63
5919850,Chapais,1,CA,1612288656,63,49.7834,-74.8492,24.8,10.36
1015776,Bredasdorp,0,ZA,1612288658,53,-34.5322,20.0403,73.4,5.75
2155415,New Norfolk,91,AU,1612288659,70,-42.7826,147.0587,55.99,1.21
777682,Skjervøy,20,NO,1612288661,85,70.0311,20.9714,10.4,4.61
1282256,Hithadhoo,100,MV,1612288662,71,-0.6,73.0833,82.81,4.92
3366880,Hermanus,0,ZA,1612288663,53,-34.4187,19.2345,77,1.99
5134295,Rome,90,US,1612288484,74,43.2128,-75.4557,28,8.05
2075265,Busselton,0,AU,1612288561,77,-33.65,115.3333,63,3
2281120,Tabou,44,CI,1612288668,81,4.423,-7.3528,81.37,6.98
1529484,Kumul,80,CN,1612288669,80,42.8,93.45,25.97,3.24
4866445,Mason City,75,US,1612288670,86,43.1536,-93.201,19.99,6.91
508034,Podporozh'ye,93,RU,1612288671,97,60.9112,34.1706,12.69,2.1
2206357,Opunake,0,NZ,1612288672,68,-39.4556,173.8583,54,5.01
1500399,Lokosovo,100,RU,1612288673,96,61.1333,74.8167,10.33,7.38
5880054,Barrow,1,US,1612288675,68,71.2906,-156.7887,-25.6,12.66
2035707,Mujiayingzi,18,CN,1612288676,79,42.1167,118.7833,-4.23,6.2
3461425,Ilhabela,42,BR,1612288677,61,-23.7781,-45.3581,84.67,4.47
490276,Sosnovka,72,RU,1612288677,95,56.255,51.2842,8.83,2.84
5391295,Salinas,90,US,1612288678,81,36.6777,-121.6555,51.8,1.48
5332191,Butte,90,US,1612288680,82,39.6499,-121.5677,54,12.66
1259385,Port Blair,0,IN,1612288680,81,11.6667,92.75,77.65,11.25
2126123,Chokurdakh,77,RU,1612288681,91,70.6333,147.9167,-2.36,12.53
2146142,Townsville,40,AU,1612288494,83,-19.25,146.8,80.6,3.44
3430863,Mar del Plata,90,AR,1612288683,94,-38.0023,-57.5575,64.4,11.5
5546220,Saint George,1,US,1612288684,50,37.1041,-113.5841,57.99,3.44
544084,Koslan,97,RU,1612288684,97,63.4564,48.8989,15.35,5.61
2074865,Carnarvon,90,AU,1612288558,100,-24.8667,113.6333,78.8,20.71
3839307,Rawson,20,AR,1612288687,24,-43.3002,-65.1023,81.48,10.63
935215,Saint-Philippe,20,RE,1612288688,74,-21.3585,55.7679,82.4,2.3
1639337,Kroya,100,ID,1612288690,84,-7.6331,109.2461,78.51,3.47
454768,Tukums,90,LV,1612288691,93,56.9669,23.1553,24.8,10.36
5122534,Jamestown,90,US,1612288323,86,42.097,-79.2353,21.99,12.66
2488835,Médéa,49,DZ,1612288693,68,36.2642,2.7539,50.31,2.42
2022572,Khatanga,0,RU,1612288576,84,71.9667,102.5,-30.62,9.51
5848280,Kapaa,1,US,1612288575,100,22.0752,-159.319,66.2,5.75
2013639,Verkhnevilyuysk,94,RU,1612288699,80,63.4453,120.3167,-39.8,9.06
6355222,Yulara,10,AU,1612288699,29,-25.2406,130.9889,80.6,9.22
3893629,Coquimbo,75,CL,1612288700,72,-29.9533,-71.3436,64.4,9.22
5690532,Minot,1,US,1612288701,86,48.2325,-101.2963,28.4,6.91
1637001,Biak,99,ID,1612288701,84,-0.9131,122.8766,76.24,10.33
6255012,Flinders,90,AU,1612288702,72,-34.5833,150.8552,63,8.05
3355672,Lüderitz,0,NA,1612288703,80,-26.6481,15.1594,66.69,13.8
5173572,Sylvania,1,US,1612288703,59,41.7189,-83.713,30,6.91
1006984,East London,0,ZA,1612288518,78,-33.0153,27.9116,71.6,17.27
3652764,Puerto Ayora,40,EC,1612288577,70,-0.7393,-90.3518,84.2,13.8
1062663,Mahajanga,20,MG,1612288708,74,-15.7167,46.3167,84.2,10.36
1062553,Mahanoro,13,MG,1612288708,76,-19.9,48.8,79.97,4.88
4031574,Provideniya,100,RU,1612288571,92,64.3833,-173.3,6.4,15.52
2082539,Merauke,99,ID,1612288711,86,-8.4667,140.3333,79.29,15.35
5044290,Saint Anthony,90,US,1612288712,79,45.0205,-93.218,23,8.05
1688781,City of San Pedro,20,PH,1612288667,78,14.35,121.0167,77,3.44
1106677,Bambous Virieux,40,MU,1612288713,78,-20.3428,57.7575,81,6.91
6089245,Norman Wells,90,CA,1612288713,76,65.282,-126.8329,-18.4,14.97
4944413,Montague,100,US,1612288714,87,42.5356,-72.5351,35.01,1.01
2177671,Armidale,70,AU,1612288715,86,-30.5167,151.65,54,3
2208248,Kaitangata,53,NZ,1612288716,83,-46.2817,169.8464,56.68,4.27
292968,Abu Dhabi,0,AE,1612288717,68,24.4667,54.3667,68,5.75
546105,Nikolskoye,90,RU,1612288721,93,59.7035,30.7861,25,8.95
4034551,Faanui,5,PF,1612288722,74,-16.4833,-151.75,81,14.34
3146160,Melbu,0,NO,1612288724,54,68.5044,14.8297,28.4,8.05
3628473,San Cristobal,20,VE,1612288726,24,7.7669,-72.225,95,23.02
2122104,Petropavlovsk-Kamchatskiy,90,RU,1612288727,92,53.0452,158.6483,12.2,4.47
3404558,Cabedelo,75,BR,1612288728,62,-6.9811,-34.8339,87.8,14.97
556268,Ostrovnoy,100,RU,1612288729,96,68.0531,39.5131,24.48,19.3
5557293,Sitka,40,US,1612288730,69,57.0531,-135.33,30.2,5.75
2070998,Geraldton,75,AU,1612288561,83,-28.7667,114.6,73.4,11.5
540761,Kropotkin,3,RU,1612288731,58,45.4375,40.5756,48.81,7.99
3883457,Lebu,45,CL,1612288732,64,-37.6167,-73.65,63.64,16.55
2026659,Bira,64,RU,1612288733,77,49,132.4667,-26.63,5.26
699328,Novopokrovka,90,UA,1612288734,93,49.8425,36.5477,33.8,6.71
5282297,Bethel,99,US,1612288556,96,41.3712,-73.414,32,1.01
934322,Mahébourg,40,MU,1612288737,78,-20.4081,57.7,80.6,6.91
2121385,Severo-Kuril'sk,25,RU,1612288738,94,50.6789,156.125,27.57,18.34
1510960,Balgazyn,15,RU,1612288738,86,51,95.2,-3.5,1.77
2012530,Zhigansk,100,RU,1612288430,85,66.7697,123.3711,-30.55,7.05
3440777,Rocha,4,UY,1612288740,45,-34.4833,-54.3333,86.85,2.89
3792398,Puerto Guzmán,67,CO,1612288741,47,0.9703,-76.5858,89.44,3.47
1789647,Xichang,0,CN,1612288741,62,27.8964,102.2634,43.23,1.74
3465329,Coruripe,88,BR,1612288742,62,-10.1256,-36.1756,83.95,15.05
5851349,Nānākuli,90,US,1612288743,94,21.3906,-158.1547,66.2,8.7
3388145,São Raimundo Nonato,61,BR,1612288744,44,-9.0153,-42.6994,89.82,4.25
2374583,Bubaque,27,GW,1612288745,73,11.2833,-15.8333,78.15,14
4036284,Alofi,100,NU,1612288746,94,-19.0595,-169.9187,77,3.44
1850034,Tondabayashi,20,JP,1612288747,56,34.5,135.6,41,16.11
2392601,Natitingou,0,BJ,1612288748,9,10.3042,1.3796,93.2,3.44
4020109,Atuona,1,PF,1612288572,77,-9.8,-139.0333,78.39,16.28
1852357,Shimoda,0,JP,1612288751,58,34.6667,138.95,36,28.34
300371,Soma,75,TR,1612288752,87,39.1855,27.6094,55.4,3.44
1529102,Ürümqi,100,CN,1612288691,86,43.801,87.6005,17.6,2.24
2027786,Amga,100,RU,1612288754,79,60.8953,131.9608,-38.54,5.82
2449893,Tessalit,0,ML,1612288756,18,20.1986,1.0114,74.44,8.63
2396518,Port-Gentil,20,GA,1612288757,79,-0.7193,8.7815,84.2,10.36
3450083,Santa Maria,75,BR,1612288730,69,-29.6842,-53.8069,82.4,10.36
6167817,Torbay,90,CA,1612288758,74,47.6666,-52.7314,28.99,3.44
5975034,High Prairie,100,CA,1612288759,77,55.4334,-116.4858,-4,11.5
1651810,Airai,97,TL,1612288759,100,-8.9266,125.4092,60.73,2.42
